id,product_number,quantity,price,discount,featured,name,description,images,variants,category_link,category,product_colors,brand_link,brand_name,Order Items
1,1246,65,₦50000,3%,true,Bidet Mixer,"A Bidet Mixer is a specialized faucet designed to provide a hygienic and comfortable cleansing experience. Typically installed alongside a toilet, this mixer combines hot and cold water to deliver a soothing stream for personal hygiene. Bidet Mixers often feature advanced designs, including temperature control, pressure adjustment, and self-cleaning nozzles, ensuring a refreshing and sanitary experience. | Bidet Mixers offer numerous benefits, including improved personal hygiene, reduced toilet paper usage, and enhanced comfort. They are particularly beneficial for individuals with certain medical conditions or disabilities. With various styles and features available, Bidet Mixers can be easily integrated into existing bathroom setups, providing a luxurious and practical upgrade to traditional toilet hygiene practices.","bidet-mixer.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/_6nyb3xywEEOaglltQeHHA/CzxfNxFU28JJxBccpXx80q5wRkgz38Wro1jWy3nB_EZdu6l2zJv1TnJaGUezz8FInjwPGAwCKWtk2Vuyjjhghrmoj280kbTO3CvlqSfmz8PQhwfDT6vaRCk5VxGESMUNylgXgbXsStpTsbY5oCuM3OtYFM7t6LFqLuK5oxvqjHA/cfR3U3lmz34tHDd7AkC_p12BAyJQtTmQuqmp2n6MaU0),basin-faucet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/4i8fFb83BY3jh7jNLgdtdA/o_SHvSacD1HWwsBOmJ_TtYX544SK8X--SPbZQX6A2t0sIQX95andTFQNF_PGudZO_lzhaK8tTnB7coZ7TN04LX75ElLu84V8Mb2ur0Le5_FE4hnz7ngg8zOiVh5WadZpTT6YDF23yTKc0ovTzzliPNlHaJ5O4VcNSBNHf14dElU/Er3J1MF1Z2ylX-8cRoLRMowdMLClLG-rWXo29-TYoGk),chrome-faucet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/oa6yFj3m_ioXUZzRl3y86w/1vP0r07RLy-9vX6l_fsEPw92bjH-W62w2VJn7e4g83USOZ8KCMJsOKlyhJG5herp1JS0yTCxzN66L787U8hJsM3gX73eEmfV0UfRb4iWRWu2bGpPEJnj-hoF1tdajzk8kxxRgf41moPuneSTTgg3Zqny6akOC5LQZuAlnKoJG00/9Bjzr0bfC4xqz9f8BX90G3GZ3k13B2Y4Wbd-5gIOAZ4),floor-mounted-toilet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/e-s1xBWmdTTKTPXoKv-2VQ/FphVvHadUSlKC8zWmrlkM4hTUokURn6YobcTW8lDF8SirF9FMt4V94zUSPSHwbtg2To6qooeVsEPWJmmi5pwmYGmY18I4YZQjhkdHdtBIXfZwZk8Lq7C5P8sGKyU6m7flA9VNV1eA5ChYY4ZAETYjecFKF-Z9Sw8fl3WdigQrEs/3xhL1rgiM_zlQHDT6pqs5xJ6w6NQr0H6b7rxigDUnaE),metalic-sink.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/YLXvTf_-k2LFhKN7TdCE-g/W0XlaPJieBX1tnOrVxOTVbiQjsqPywsJoZ3ISR4n8R9a6cRSDq8fpmt3NNOZa2iJizZxzdxYj4kxWvZ8dB6ea2RLqavaxrbKLcR49808fSyzPiXZtoe9Q_xHlroaNf_X49NYVEjI947kcyFuTXIVYRCxZuftAFcAvnNteIiIxJc/THWzXgGTlaeHWNllkDz5gm_o7DopW5onsSv6C-368B0)","BM-100, BMA, BidetPro, HygieneFlow, CleanTouch",faucets,faucets,"silver, gold, white, black",3,Kohler,
2,9876,30,₦15000,,false,Washbasin Siphon,"A washbasin siphon, also known as a sink trap or P-trap, is a curved pipe under a washbasin that prevents sewer gases from entering the bathroom. It works by trapping a small amount of water in the curve of the pipe, creating a seal that blocks odors and gases from rising up into the sink area. This essential plumbing component helps maintain a healthy and hygienic environment in bathrooms. | Washbasin siphons come in various designs and materials, such as PVC, metal, or ABS, and are designed to fit different types of sinks and plumbing systems. Regular maintenance, such as checking for blockages and ensuring proper water flow, can help prevent issues like clogs, leaks, or unpleasant odors. A well-functioning washbasin siphon is crucial for maintaining a clean and odor-free bathroom environment.","washbasin-siphon.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/8BClFXKyvCaGjP9uXWguGg/M-k-Ne9ZujMgM5xd076t-OC4MJ--foxyi-3L68GVNPbtRooAUJPEZpFaV4yGQRaGgWysAPfJ71t83IWJKv0ct2wZMMJ0dGjS7TzKu0OpIB1PdfaN9fnkVVL5gsOQNsGFu5n77_Az-S5cucaQfxSgonaGCpsUuaBjc0TNGm6wuSA/5EqU_Vz8uyXVVCakH4oDiSd3qoRZJ7sL9gTPIfgwNn8),washbasin-siphon.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/6eYju9SJqlVGOdrqV0_EOg/ztKFck5-XZLlymWCrPJgdLG4244MQNrgwLSfmsKjpFpu5utUQoN6bama5A_aXlGvJwqg-Y7h5j3CCPk4fn_CC769PEjoVsljV2Abbyu85CU6mqGGTGHchinI54DYWRbnx0iF1mamaceYPlGLmYue3EVr0MwlAUE63U_tCg5GKRw/09hsS7T5Ej-PZBrO9TKKQ4pD6c4yT2JyNgyS7Wh9K4U)",,faucets,faucets,"black, white, silver, gold",,,
3,3005,20,₦135000,5%,true,Floor Mounted Toilet,"A Floor Mounted Toilet is a traditional style of toilet installation where the toilet pan is directly fixed to the floor. This type of toilet is widely used in many residential and commercial settings due to its straightforward installation and maintenance. Floor Mounted Toilets are available in various designs, from basic to luxurious, and can be paired with different flushing systems to suit specific needs and preferences. | Floor Mounted Toilets offer several benefits, including ease of installation, cost-effectiveness, and a wide range of design options. They are often preferred for their durability and reliability, as the toilet pan is securely fastened to the floor, reducing the risk of leaks or instability. With proper maintenance, Floor Mounted Toilets can provide years of reliable service, making them a practical choice for many users.","floor-mounted-toilet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/YweOon5Vr4Aygi19-gjruA/w3CAlYC-fejGtLQHnTRv81oocnyQ2-ZkYK6Gyut_lCtnGHV80bN7LNg9TtPc5W1P16eYFzbVJYuybjoUXGL7HG0Ug0acUJF8fcolGGcfgpkCkWFJFUTW9-o_7H0suXdw4UDX4FIovOxUhl0JoiH6k5dJHN1XZ86ayIKLdx8vUhk/I-K_ekxVh1ko4kY0uZgmhq3-kzixKuhhWMGjlLdwObs),floor-mounted-toilet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/aAsKEImT0D0sdvFzBpZBFA/AQ4S9A-hS-JLggCXWhPZrTrysv1Wv3XIqrogBq7wLyD9_zxqH7yuEN273rQq6DTrk74wsr4gklNLxsdNggX9EcWSLbomssr6gkYEhTRxzlqDWdwe_gTpGP_CExo-kgEFMHcSJsbCRSgUumvFZNkPkNwOOA2tbJSmp8ylxDKsi2o/RGCjACe-cLdJ2XRdarzJmyqP4GrVVMNn_Z0Jukw4hf4)",,Bathroom Fixtures,Bathroom Fixtures,"white, ash, pink",,,
4,2045,20,₦75000,3%,true,Chrome Faucet,"A Chrome Faucet is a stylish and durable plumbing fixture featuring a chrome-plated finish. This type of faucet is designed to provide a sleek and modern look to kitchens and bathrooms while offering reliable performance. Chrome faucets are resistant to corrosion and tarnishing, ensuring a long-lasting shine and easy maintenance. | Chrome Faucets come in various styles, from contemporary to traditional, and can be equipped with different handle types, such as lever or knob controls. They often feature advanced technologies like water-saving aerators and smooth cartridge operation. With their elegant appearance and functional design, Chrome Faucets are a popular choice for homeowners seeking to upgrade their plumbing fixtures with a touch of sophistication and luxury.","chrome-faucet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/NEv2TcLN9A24wWpbLuuXDA/7bhUt98o9T0vgBLxmj6db3YpGHiHE11qZbLPgikqqtYnve8WA0JZfZLKBYDvOS5UwkUXXCFtuvnoOHU2DxLA4J2lF_6GHT-h2RydhHyv2NCE0k9HnW44w4EkHNy30UaBmU2Nde7Iy00n_dbaXscH4F9I-3jlCUkc3aQ4S5Fx1Zw/KzYAo8RQhmP3SY4kmHmubBSbgSdRv66Whd6VgPZdbWg),chrome-faucet.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/yWLM-IKUfcihRWTvdUW6bw/qZdnHWniooBIYk_rGoxBbvtdjEDi4UAf1boUTnGNQP96I69doeiKLq-45XeaXp251qfMlyP2EBO8zytBechMsngbjh3N3Le9JwslVV-t7W9Ut7fGRikGdWJQ08hujSXim4PKDpMcumjis9M2_F8-CcXgV7vYxr85xAd74ImsdAQ/qiBbWZp3WbqhyswHaZYbLKQn9t4PlP8NKcoA6pHU9n0)","CFC-200, ChromeLux, ShineFlow, CFX, PolishedPro",faucets,faucets,"silver, gold, black",3,Kohler,
5,1014,70,₦80000,,true,Recessed Basin,"A Recessed Basin is a type of sink that is mounted into a countertop or vanity, creating a seamless and sleek look. The basin is recessed into the surface, providing a smooth, continuous appearance that is both stylish and functional. Recessed Basins are popular in modern bathroom designs, offering a clean and minimalist aesthetic that can enhance the overall look of the space. | Recessed Basins come in various shapes, sizes, and materials, such as ceramic, porcelain, or stone, allowing homeowners to choose the perfect fit for their bathroom style. They often require precise installation to ensure a proper fit and finish. With their elegant design and practical functionality, Recessed Basins can add a touch of sophistication to any bathroom, making them a popular choice for those seeking a high-end look.","recessed-basin.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/gR7k23yaRRSTQ9QJoC7s3w/FjBOB4qCNmGmwAi7VMYYj-DYU84uRO70cWOfvUs8PpZxBY1UZ9bRcbBL1omSGg-m7O3hMEI4aM1qfbNywyEyNELgmrNCHSWqA6-heHXRWEZwAIRxOsBUKSUzof5NSmEVfTl7Evv1KKKaOkW718tvSQlqa_WZ_c9uxZMFTRA1kh4/t1byY7XZR42TQ4loduuncMmmoFuXLmxS2fsslCpsZLM),recessed-basin.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/Gj47Kfv0BuM7D0jnTc3H6g/WLnExhHL7SxfuwUSzDodurik_K-O3iPgnyzN3hFqA_dSBZlndWlK-qxlVJkbCtqscoqwENj39Z31AGRABSsiuh3nwyyIcUpV2e-QXDKGrDUqNo0FUFPEszVk_GeK40jp_0q41RuaN4Iu7MYHkeltOBrlJ_b8hHB2N3gW-bkAp1s/-Z4VSN92LpliDJVSx8qGVk-s_qtqn8fmd2w-zkRThSA)",,Bathroom Fixtures,Bathroom Fixtures,"white, ash",,,30
6,3087,60,₦65000,2%,false,Metallic Sink,"A Metallic Sink is a type of sink made from metal materials, such as stainless steel, copper, or brass. These sinks are known for their durability, resistance to scratches and cracks, and ease of maintenance. Metallic Sinks can add a touch of modernity and sophistication to kitchens and bathrooms, with their sleek and contemporary design. |  Metallic Sinks come in various finishes, such as brushed, polished, or matte, allowing homeowners to choose the perfect style to complement their decor. They are often preferred for their ability to withstand heavy use, resist stains, and maintain their appearance over time. With their unique blend of style and functionality, Metallic Sinks are a popular choice for those seeking a modern and durable sink solution.","metalic-sink.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/G3SCEI08rIvjrbPRDVs7Hg/YVsMez0Dno6jRM3TU4NHj7tKoGK0A3N5cDhTlJ84jLg3a_jELKlDWAkY197e8fcgX6uvYmR_gnNgkrd7JQXeje8MnlfHqN6RixP2TLkBSk07QxxoapKb-hFySKw2yu-tacxUezw12fByOrFqBoK7HErXW0aefFuAQ5eR1mdMVro/LYS3TrBU1tw0WzOS6-9aZaVNC246Irg5zT5kBsn6fgw),metalic-sink.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/n9T4cQpb7RWjeZbOh19ejA/hS8l1gYxANNchxeFF9tYHKvW3NMEJTDdN0krroQF9nZVSBd5vu7JgTfNq5VaaUOWUEXluTyZokMz3vmuWm_p3fzQIXWpMohXzJyzs1XIuMmLxi1f6Y6ta6dwMlJizA_dvuidwHZsJFZELQDgL7Lt3aLYMu6I51WeCzW6C2KBpR8/R96NRSerG75v9TYFqapwbx3ZtXTk1h6CF49kWMptpO0)",,Bathroom Fixtures,Bathroom Fixtures,"black, silver, gold",,,36
7,9570,35,₦850000,5%,false,AquaFlow CFP-100,"The AquaFlow CFP-100 is a reliable centrifugal pump designed for residential and commercial water supply systems. With its robust construction and efficient motor, this pump provides consistent water pressure and flow rates. | The AquaFlow CFP-100 features a durable stainless steel shaft and ceramic mechanical seal, ensuring long-lasting performance and minimal maintenance. Its compact design makes it suitable for installation in tight spaces, and its user-friendly interface allows for easy operation and monitoring.
","pump2.jpeg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/Pfz_Co52qT-h1Ztykj2Tug/w43bYXjS5TDAJFVr4FxvbDThXoLrz5P91VEQmmZSAykI8F_UtgEPIi7WUeC1FTWksVImT5TBxyyi6BgVIflFYfPSp7ADXUa4iL6aCoOwRSpNeBiVhfrY9KGIOp1qGTYM7Qf2rCNdCpSY4WZfSIikx_HeNrA-uM34gydgqGPPpJc/L9BkFtb-vwZkYAVEhjm27vFghjZxb5m_6CrXDTWhMDs),pump.jpeg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/qKbLGa_z7vkovg11WKXO_Q/c7wc55_DoEAoHZxTPxBxK_WuEOWiOH-DE5RoP1zH0RFMJVXl-a9X_ga7l2Ey4PkdowG0abykyJ92wSLhZIDPOI9EpbjK6mEgOWYrQ09BAIKj6iO7qbcVCRdkh1ipCCsq3jdp3FgpmwtEBc4xEwTL8g/nU5S3dyOsBtpegPn8u3LP92pXDKtUcMEH4P8lsvJkK0)",,pumps,pumps,silver,1,Interdap,25
8,9577,20,₦1200000,2%,false,DeepWell DWP-500,"The DeepWell DWP-500 is a high-performance submersible pump designed for deep well applications. With its powerful motor and advanced hydraulic design, this pump can deliver high water volumes from depths of up to 500 feet. | The DeepWell DWP-500 features a rugged stainless steel construction and advanced thermal protection, ensuring reliable operation and extended lifespan. Its compact diameter allows for installation in narrow wells, and its quiet operation makes it suitable for residential areas.","surface2.webp (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/Z8oNYNyVHX7e-G7IeaEyZw/4a9czeOw37N76WwFAZwHEqY9MMCQRYK2-opl9hxeuEAbTn_PqkF7aFEmWf5YhbHzxyrDgDdRvOTn5u9xVd_2Fmc6biL9BBWa4k4SMm9FwIt1nHMm_nVeAcSvnuivEo_oDFBt8gERlzh4i7ti99hRWpU37Qgq7UowjSxHAHL6-go/L8fNOEFVzFrA91N7WYyyquRQhvx3mqE6hO2b-oWhc_Y),surface.webp (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ZBQezxI2mPWB-l5Mz22sdQ/ZxUXp381J1-768vnQRDwPyxrsWLkX99cYiOOxZ-aIL1wPNgoVdjVioyW_EnklEdApAp3SCDaYQkjW8t3C3m8DqffUvgPKUtfVxAlGu7RLGsW1s-WnVePPNd1W8wkGVPzH2NZvFky1VnepOZOdLI9DgmbNtRezWqFXRUxFaCYPZA/-i8q6fijbgFptqCJyGiRGqkoUgrwcKidF0s95UqzvdY)",,pumps,pumps,silver,2,Whales,
9,9751,50,₦45000,,true,SCT Mixer Tap,"The Silver Choice Mixer Tap is a stylish and functional addition to any kitchen or bathroom. With its sleek silver finish and durable construction, this tap is designed to provide years of reliable service. The mixer tap features a convenient side lock mechanism, allowing for easy temperature control and water flow adjustment. | The tap's rotating handle allows for smooth operation, enabling users to effortlessly switch between hot and cold water settings. With its rotate-up and rotate-down functionality, this mixer tap provides precise control over water temperature and pressure. Perfect for modern homes, the Silver Choice Mixer Tap combines style, functionality, and durability, making it an excellent choice for homeowners seeking a high-quality tap solution.
","mixer-tap.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/MWkpHa24HUGiMOottVCjoA/LMHF0t5fE8jD1mAEhohUE5S_sfuPA2tguklIfLISuZsvVyyLJRdByOlsOUxJQlbk5QyYcLB8XAeMKOPiZtmvFByBHkmhg2YAdVGe2xzJ8luMxUFm2ylDpIWb16uiDJKOjuc7xq4wfGFLcoHgc4thI_CbKNI1GItISK5YnwCqBqQ/BZ_nqGsmUSG3Kq6fO1HmUQe0ez_tyHJefs84zrD6Aw4),mixer-tap-two.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/qCi6fE8RbXnxCdwWjW8p3Q/HWZrdjeEL88fqgE94puZLB5sgxKs3Uizh0VMqrGjb4vWO3F74vjs_bTXxKQg1NnbZc18tLzVKJpY-VIrEASIvcjvC_g-FzCTarvkWzS_YC64N5iCMEvFmRFNTcoLbgIVpH233206Bzp3e5VHLMTHLIECGb1YCSC2_7H9WFguE-w/uqMoRqFFCNe_hg8sjBmXEvM47bTSfgMxusWYyVgDiCw)","SLR, SLUD, RotateX, SL4500, ProRotate, FlexiLock, TwinRotate",faucets,faucets,"silver, gold",4,CSWL,28
12,2312,800,₦5500,,false,"4"" Thick PVC Pipe","4"" PVC pipe is a durable and versatile piping solution. It's made from high-quality PVC material, resistant to corrosion and chemicals. The pipe's 4-inch diameter and thick walls provide strength and stability. It's ideal for various applications, including plumbing, irrigation, and drainage systems.","IMG-20250720-WA0067.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/nP808W_RFVLpmQHEJlERbw/DitwXjteTc5BzuoFdFFxSh4-_UPBHy5Yby2d4xRPCJ4Mbxy13L2cdK6T-rw92EKaucpZGrhotjLb68eoB4MdAasH3OMn35IypSCpNoSIvYGoIFwEGBD-qnlRV5mXIzp1MJ5-cNFnisANR8j4smeR7r6vkd2ZIRtR3rlqTs3kSjw/T9kg9C4RkMkdsJST23frqvbVJcwLhLy2EsLT-DF5hS8),IMG-20250720-WA0068.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/sgzFveuuj-cdPjHGYcKLBw/ReNolWbI4RC0SQlr8VayyRK7hQkHez5WdY_Zbo7COTxrhHpaxvW1IW0pWYcdQQoj1JP6Q6tm3vcFW3uW1qOc87iB_z2U1QT21JBFDstvOXugcEbFS6inEVW2pUEpyTwmxAoIEKTA8pN_hwC0PFJBtm3da3WExrBoIuSvEx206QM/nxmuPcQODFS3wYVDgwhrhwB8I2HFV3yxliG0WplCh-A),IMG-20250720-WA0069.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/2iNxT3hA3Up8qtbvgRjjsg/_vux80t-wj2q-M-IRU6HYpvQZ_gopRolee6CcWrPJiRYbpdkHr7ZPSFT0npCrf4PHc7-VSEk14wEuwF6y-fAldZtSInDqbB9RQacBv9CzCsH8ofS39UJGj_hkZ5yQNzEdl8Etc2T0em_yiuwbsJDJkTFkxJ8RZaBBEt3YFb7gCI/P4lkhTqiez6YBa_VaEHRkXOlLUanEVcz15PVatRCkg8),IMG-20250720-WA0071.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/yXz50PT8HjwiSBxk9r4zwg/ATvPQuTtZ3HVDBCv-UVgP5jVAx7lqzCVyHUx91yK9lImPkMzdg_PlKUlu6frqiA8p1QTFsyz05Q9pvdaK3W-v-pbD5a29RETbVFEa7Zw0U8RsE7NTj7kEgbe7tdsBU4ixEIQUhnBA0fmvkGtNiR8mfEbmNmGteSf6S9lmBZq_YA/cm17XFbbaTs47LMZZOLcuqsScVNqNh1mVTbaMkn8iVk)",,pipes,pipes,,,,
